,,,,,,,,,,,,,,,
PROCESSO Nº,,,,,ASSUNTO,,,,,,,,,,
,,,,,,,,,,,,,,,
REQUISITANTE,,,,,,DA ELABORAÇÃO DO MAPA,,,,,,,,,
ÓRGÃO,,,,,,RESPONSÁVEIS PELO ORÇAMENTO,,,,,,,,,
SETOR,,,,,,ANALISTAS RESPONSÁVEIS,,,,,,,,,
TELEFONE,,,,,,DATA DA LICITAÇÃO,,,,,,,,,
,,,,,,,,,,,,,,,
ITEM,QUANT.,UNID.,"CÓDIGO
(CATMAT/
CATSER)","DESCRIÇÃO SUMÁRIA DO
PRODUTO/SERVIÇO","ORÇAMENTO EMPRESA E0001
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0002
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0003
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0004
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0005
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0006
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0007
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0008
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0009
PREÇO UNITÁRIO (R$)","ORÇAMENTO EMPRESA E0010
PREÇO UNITÁRIO (R$)","ORÇAMENTO DA LICITAÇÃO
PREÇO UNITÁRIO (R$)"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,100,Caixas,,,R$4.00 ,R$11.00 ,R$39.00 ,R$14.00 ,R$33.00 ,R$11.00 ,R$15.00 ,R$29.00 ,R$11.00 ,R$23.00 ,R$30.00 
2,200,Packs,,,R$2.00 ,R$7.00 ,R$36.00 ,R$4.00 ,R$35.00 ,R$11.00 ,R$37.00 ,R$18.00 ,R$24.00 ,R$7.00 ,R$3.00 
3,250,Litros,,,R$15.00 ,R$35.00 ,R$18.00 ,R$18.00 ,R$2.00 ,R$28.00 ,R$24.00 ,R$28.00 ,R$11.00 ,R$20.00 ,R$3.00 
4,150,Packs,,,R$2.00 ,R$40.00 ,R$19.00 ,R$6.00 ,R$7.00 ,R$31.00 ,R$18.00 ,R$31.00 ,R$39.00 ,R$14.00 ,R$33.00 
5,20,Pneus,,,R$37.00 ,R$1.00 ,R$29.00 ,R$12.00 ,R$31.00 ,R$21.00 ,R$27.00 ,R$30.00 ,R$12.00 ,R$7.00 ,R$9.00 
6,100,Caixas,,,R$9.00 ,R$40.00 ,R$15.00 ,R$29.00 ,R$32.00 ,R$29.00 ,R$40.00 ,R$37.00 ,R$26.00 ,R$34.00 ,R$22.00 
7,200,Packs,,,R$22.00 ,R$26.00 ,R$8.00 ,R$14.00 ,R$9.00 ,R$40.00 ,R$3.00 ,R$14.00 ,R$11.00 ,R$7.00 ,R$31.00 
8,250,Litros,,,R$29.00 ,R$17.00 ,R$3.00 ,R$31.00 ,R$2.00 ,R$39.00 ,R$25.00 ,R$38.00 ,R$13.00 ,R$14.00 ,R$15.00 
